MLS #,List Price,Sell Price,Address,Structure Type,Property Type,Beds,Full Baths,Half Baths,Square Footage,Lot Size,HOA Fee,Parking Spots,Garage Spaces,Closed On,Stories,Style,Attached Garage,Road Frontage,New Construction,Year Built,Common Interest
MLS #SC24046693,"$830,000 ","$810,000 ","5 Los Palos Drive San Luis Obispo, CA 93401-7712",House,Residential,3,2,0,"1,505 sqft","3,600.00 sqft",$340 Monthly,4,2,9-Jul-24,1,Mediterranean,Yes,Private Road,No,1976,Planned Development
MLS #SC24033562,"$946,720 ","$946,720 ","157 Tango Way Lane San Luis Obispo, CA 93401",House,Residential,3,2,1,"1,708 sqft","4,234.00 sqft",$45 Monthly,2,2,26-Jun-24,2,Bungalow,Yes,,Yes,2024,None
MLS #SC24090048,"$947,440 ","$942,440 ","153 Tango Way Lane San Luis Obispo, CA 93401",House,Residential,3,2,1,"1,708 sqft","3,900.00 sqft",$45 Monthly,2,2,19-Jun-24,2,Bungalow,Yes,,Yes,2024,None
MLS #FR24055838,"$1,199,000 ","$1,175,000 ","132 Earthwood Lane San Luis Obispo, CA 93401-9108",House,Residential,4,2,1,"2,271 sqft","5,612.00 sqft",$45.1 Monthly,2,2,10-Jun-24,2,Contemporary,Yes,,No,2023,None
MLS #SC24023258,"$779,000 ","$805,000 ","60 Las Praderas Drive San Luis Obispo, CA 93401-7410",House,Residential,2,2,0,"1,204 sqft","6,800.00 sqft",0,2,2,10-Jun-24,1,,Yes,,No,1980,None
MLS #PI24075872,"$1,068,000 ","$1,068,000 ","120 Earthwood Lane San Luis Obispo, CA 93401-9108",House,Residential,3,2,1,"1,811 sqft","3,900.00 sqft",$45.1 Monthly,2,2,30-May-24,2,Craftsman,Yes,City Street,No,2023,None
MLS #SC24058886,"$935,000 ","$937,500 ","168 Earthwood Lane San Luis Obispo, CA 93401-9108",House,Residential,3,2,1,"1,609 sqft","3,678.00 sqft",$45 Monthly,2,2,24-May-24,2,,Yes,,No,2023,Planned Development
MLS #SC23205858,"$664,575 ","$664,575 ","200 Earthwood Lane San Luis Obispo, CA 93401-9108",House,Residential,3,1,1,"1,169 sqft","2,649.00 sqft",$45 Monthly,1,1,19-Apr-24,2,,Yes,,Yes,2023,Planned Development
MLS #SC23204405,"$575,175 ","$575,175 ","164 Earthwood Lane San Luis Obispo, CA 93401",House,Residential,2,1,0,819 sqft,"2,649.00 sqft",$45 Monthly,4,1,17-Apr-24,1,Other,Yes,,Yes,2022,None
MLS #SC23209915,"$575,175 ","$575,175 ","192 Earthwood Lane San Luis Obispo, CA 93401",House,Residential,2,1,0,819 sqft,"2,649.00 sqft",$45 Monthly,4,1,3-Apr-24,1,Other,Yes,,Yes,2024,None
MLS #SC23205492,"$427,575 ","$427,575 ","196 Earthwood Lane San Luis Obispo, CA 93401",House,Residential,2,1,0,819 sqft,"2,768.00 sqft",$45 Monthly,4,1,3-Apr-24,1,Other,Yes,,Yes,2024,None
